3
x, y
3.5, 19.0
2.0, 20.0
5.0, 21.0
time, x, y, lookahead, heading
0.0, 3.5, 19.0, 2.0, 0.0
0.02, 3.5, 19.0, 2.0, 0.0064
0.04, 3.5, 19.0, 2.0, 0.019199999
0.06, 3.5, 19.0, 2.0, 0.038399998
0.08, 3.5, 19.0, 2.0, 0.063999996
0.099999994, 3.5, 19.0, 2.0, 0.09599999
0.12, 3.5, 19.0, 2.0, 0.13439998
0.14, 3.5, 19.0, 2.0, 0.17919998
0.16, 3.5, 19.0, 2.0, 0.23039997
0.17999999, 3.5, 19.0, 2.0, 0.28799996
0.19999999, 3.5, 19.0, 2.0, 0.35199994
0.22, 3.5, 19.0, 2.0, 0.42239994
0.24, 3.498566, 19.002602, 2.0013688, 0.4962114
0.26, 3.4934697, 19.01042, 2.0050476, 0.5700229
0.28, 3.4839532, 19.0229, 2.0101528, 0.64383435
0.29999998, 3.469322, 19.039404, 2.0583236, 0.7176458
0.32, 3.4489534, 19.059221, 2.187958, 0.7914573
0.34, 3.4272027, 19.077724, 2.1912887, 0.8588688
0.35999998, 3.4044173, 19.094852, 2.1929004, 0.9198803
0.38, 3.3807929, 19.110691, 2.1929755, 0.9744917
0.39999998, 3.3565104, 19.125349, 2.1917014, 1.0227032
0.42, 3.3314576, 19.139097, 2.189244, 1.0645146
0.44, 3.3060179, 19.15193, 2.1858099, 1.0999261
0.45999998, 3.2803338, 19.163984, 2.181594, 1.1289376
0.48, 3.2545643, 19.175396, 2.176794, 1.1515491
0.5, 3.2289329, 19.186274, 2.171627, 1.1677606
0.52, 3.2026746, 19.197134, 2.1678998, 1.1775721
0.53999996, 3.1774724, 19.207476, 2.1732752, 1.1809837
0.56, 3.152852, 19.217688, 2.1784353, 1.1779952
0.58, 3.1268377, 19.228783, 2.1836343, 1.1686066
0.59999996, 3.101496, 19.240088, 2.1882837, 1.1528181
0.62, 3.0760827, 19.252129, 2.1923616, 1.1306295
0.64, 3.0508492, 19.265001, 2.1956487, 1.102041
0.65999997, 3.0259767, 19.27883, 2.197939, 1.0670525
0.68, 3.0016296, 19.293737, 2.1990411, 1.025664
0.7, 2.9782083, 19.309687, 2.1987617, 0.9778755
0.71999997, 2.9556305, 19.326948, 2.1969233, 0.923687
0.74, 2.934102, 19.345602, 2.1933446, 0.86309844
0.76, 2.913847, 19.365705, 2.1878524, 0.7961099
0.78, 2.8951051, 19.387285, 2.1802943, 0.7227214
0.79999995, 2.8782337, 19.410196, 2.170589, 0.6429329
0.82, 2.8633907, 19.434523, 2.1754167, 0.5567444
0.84, 2.8508615, 19.46016, 2.1897967, 0.46415588
0.85999995, 2.8409352, 19.486946, 2.206579, 0.36516738
0.88, 2.8339224, 19.514538, 2.2256467, 0.25977886
0.9, 2.830046, 19.542774, 2.246991, 0.14799035
0.91999996, 2.8295453, 19.5713, 2.2704484, 0.029801823
0.94, 2.8324864, 19.598783, 2.2771473, -0.09387129
0.96, 2.8392057, 19.627789, 2.3463519, -0.21518122
0.97999996, 2.8503377, 19.658731, 2.4386024, -0.3331938
1.0, 2.8663197, 19.691008, 2.53512, -0.44793308
1.02, 2.8874876, 19.723963, 2.6356728, -0.5594296
1.04, 2.9140751, 19.756918, 2.7399423, -0.66771984
1.06, 2.9462204, 19.789171, 2.8475251, -0.7728458
1.0799999, 2.983959, 19.820026, 2.9579532, -0.87485397
1.1, 3.0244012, 19.847132, 3.0029387, -0.97046214
1.12, 3.0672433, 19.870644, 3.046266, -1.0596703
1.14, 3.1118147, 19.890535, 3.0875418, -1.1424785
1.16, 3.157696, 19.906973, 3.126668, -1.2188866
1.18, 3.2045236, 19.92017, 3.1636248, -1.2888948
1.1999999, 3.2519891, 19.93037, 3.198441, -1.352503
1.22, 3.3002236, 19.937916, 3.231474, -1.4097111
1.24, 3.3486693, 19.943024, 3.262597, -1.4605193
1.26, 3.3971546, 19.946, 3.2919686, -1.5049275
1.28, 3.4455328, 19.947157, 3.319766, -1.5429357
1.3, 3.494383, 19.946815, 3.3465796, -1.5745438
1.3199999, 3.543002, 19.945282, 3.3722723, -1.599752
