4
x, y
0.0, 0.0
0.0, 2.4539999961853027
0.0, 9.0
3.8200600147247314, 12.5
time, x, y, lookahead, heading
0.0, 0.0, 0.0, 2.0, 0.0
0.02, 0.0, 0.0019999999, 2.0, 0.0
0.04, 0.0, 0.0059999996, 2.0, 0.0
0.06, 0.0, 0.011999999, 2.0, 0.0
0.08, 0.0, 0.02, 2.0, 0.0
0.099999994, 0.0, 0.029999997, 2.0, 0.0
0.12, 0.0, 0.041999996, 2.0, 0.0
0.14, 0.0, 0.055999994, 2.0, 0.0
0.16, 0.0, 0.07199999, 2.0, 0.0
0.17999999, 0.0, 0.08999999, 2.0, 0.0
0.19999999, 0.0, 0.109999985, 2.0, 0.0
0.22, 0.0, 0.13199998, 2.038889, 0.0
0.24, 0.0, 0.15599999, 2.0777776, 0.0
0.26, 0.0, 0.18199998, 2.1166666, 0.0
0.28, 0.0, 0.20999998, 2.1555555, 0.0
0.29999998, 0.0, 0.23999998, 2.1944444, 0.0
0.32, 0.0, 0.27199998, 2.2333333, 0.0
0.34, 0.0, 0.306, 2.2722223, 0.0
0.35999998, 0.0, 0.342, 2.3111112, 0.0
0.38, 0.0, 0.38, 2.35, 0.0
0.39999998, 0.0, 0.42, 2.388889, 0.0
0.42, 0.0, 0.46199998, 2.4277778, 0.0
0.44, 0.0, 0.506, 2.4666667, 0.0
0.45999998, 0.0, 0.552, 2.5055556, 0.0
0.48, 0.0, 0.59999996, 2.5444446, 0.0
0.5, 0.0, 0.65, 2.5833335, 0.0
0.52, 0.0, 0.70199996, 2.6222222, 0.0
0.53999996, 0.0, 0.756, 2.661111, 0.0
0.56, 0.0, 0.812, 2.7, 0.0
0.58, 0.0, 0.86999995, 2.7388887, 0.0
0.59999996, 0.0, 0.92999995, 2.7777777, 0.0
0.62, 0.0, 0.9919999, 2.8166666, 0.0
0.64, 0.0, 1.0559999, 2.8555553, 0.0
0.65999997, 0.0, 1.1219999, 2.8944442, 0.0
0.68, 0.0, 1.1899998, 2.9333332, 0.0
0.7, 0.0, 1.2599998, 2.9722219, 0.0
0.71999997, 0.0, 1.3319998, 3.0111108, 0.0
0.74, 0.0, 1.4059998, 3.0499997, 0.0
0.76, 0.0, 1.4819998, 3.0888886, 0.0
0.78, 0.0, 1.5599997, 3.1277773, 0.0
0.79999995, 0.0, 1.6399996, 3.1666663, 0.0
0.82, 0.0, 1.7219996, 3.2055552, 0.0
0.84, 0.0, 1.8059996, 3.244444, 0.0
0.85999995, 0.0, 1.8919996, 3.2833328, 0.0
0.88, 0.0, 1.9799995, 3.3222218, 0.0
0.9, 0.0, 2.0699995, 3.3611107, 0.0
0.91999996, 0.0, 2.1619995, 3.3999994, 0.0
0.94, 0.0, 2.2559993, 3.438888, 0.0
0.96, 0.0, 2.3519993, 3.477777, 0.0
0.97999996, 0.0, 2.4499993, 3.516666, 0.0
1.0, 0.0, 2.5499992, 3.5555549, 0.0
1.02, 0.0, 2.6519992, 3.5944438, 0.0
1.04, 0.0, 2.755999, 3.6333327, 0.0
1.06, 0.0, 2.861999, 3.6722217, 0.0
1.0799999, 0.0, 2.969999, 3.7111106, 0.0
1.1, 0.0, 3.079999, 3.7499993, 0.0
1.12, 0.0, 3.191999, 3.788888, 0.0
1.14, 0.0, 3.3059988, 3.827777, 0.0
1.16, 0.0, 3.4219987, 3.8666658, 0.0
1.18, 0.0, 3.5399988, 3.9055548, 0.0
1.1999999, 0.0, 3.6599987, 3.9444437, 0.0
1.22, 0.0, 3.7799985, 3.9444444, 0.0
1.24, 0.0, 3.8999984, 3.9444444, 0.0
