6
x, y
-0.0, 0.0
-0.0, 4.0
0.5, 8.58899974822998
0.5, 12.404999732971191
0.5, 17.0
-1.5, 19.399999618530273
time, x, y, lookahead, heading
0.0, -0.0, 0.0, 2.0, 0.0
0.02, 0.0, 0.0064, 2.0, 0.0
0.04, 0.0, 0.019199999, 2.0, 0.0
0.06, 0.0, 0.038399998, 2.0, 0.0
0.08, 0.0, 0.063999996, 2.1088889, 0.0
0.099999994, 0.0, 0.09599999, 2.2333333, 0.0
0.12, 0.0, 0.13439998, 2.3577776, 0.0
0.14, 0.0, 0.17919998, 2.482222, 0.0
0.16, 0.0, 0.23039997, 2.6066666, 0.0
0.17999999, 0.0, 0.28799996, 2.731111, 0.0
0.19999999, 0.0, 0.35199994, 2.8555553, 0.0
0.22, 0.0, 0.42239994, 2.9799998, 0.0
0.24, 0.0, 0.49919993, 3.104444, 0.0
0.26, 0.0, 0.5823999, 3.2288885, 0.0
0.28, 0.0, 0.6719999, 3.353333, 0.0
0.29999998, 0.0, 0.7679999, 3.4777777, 0.0
0.32, 0.0, 0.8703999, 3.6022222, 0.0
0.34, 0.0, 0.9791999, 3.7266667, 0.0
0.35999998, 0.0, 1.0943999, 3.851111, 0.0
0.38, 0.0, 1.216, 3.9755557, 0.0
0.39999998, 0.0, 1.344, 4.1000004, 0.0
0.42, 0.0, 1.4784, 4.2244444, 0.0
0.44, 0.0, 1.6192, 4.3488894, 0.0
0.45999998, 0.0, 1.7664, 4.473334, 0.0
0.48, 0.0, 1.92, 4.5977783, 0.0
0.5, 0.0, 2.08, 4.7222223, 0.0
0.52, 0.0, 2.2463999, 4.8466673, 0.0
0.53999996, 0.0, 2.4192, 4.9711113, 0.0
0.56, 0.0, 2.5983999, 5.0955553, 0.0
0.58, 0.0, 2.784, 5.2200003, 0.0
0.59999996, 0.0, 2.9759998, 5.3444443, 0.0
0.62, 0.0, 3.1743999, 5.4688883, 0.0
0.64, 0.0, 3.3791997, 5.5, 0.0
0.65999997, 0.0, 3.5903997, 5.5, 0.0
0.68, 0.0, 3.8079996, 5.5, 0.0
0.7, 0.0, 4.0319996, 5.5, 0.0
0.71999997, 0.0, 4.2623997, 5.528422, 0.0
0.74, 5.171856E-4, 4.49694, 5.553312, -0.0022587967
0.76, 0.0021510706, 4.735878, 5.5775685, -0.0064396188
0.78, 0.005071646, 4.9770484, 5.600787, -0.011616401
0.79999995, 0.009465987, 5.2235184, 5.6231155, -0.017275667
0.82, 0.01528137, 5.4701, 5.6440425, -0.023073178
0.84, 0.022719739, 5.722792, 5.6640186, -0.028870687
0.85999995, 0.03182795, 5.981585, 5.682995, -0.034668196
0.88, 0.04270183, 6.2464666, 5.7008758, -0.040465705
0.9, 0.055386923, 6.5174265, 5.7176147, -0.046263214
0.91999996, 0.06998007, 6.7944503, 5.733113, -0.052060723
0.94, 0.08652548, 7.077527, 5.7473264, -0.057858232
0.96, 0.105093256, 7.3666425, 5.7601833, -0.06365574
0.97999996, 0.12578173, 7.6617813, 5.7715845, -0.069453254
1.0, 0.14693436, 7.9497786, 5.781751, -0.072964475
1.02, 0.16874689, 8.260929, 5.7937694, -0.0700757
1.04, 0.18809816, 8.569089, 5.80791, -0.06347671
1.06, 0.20495406, 8.860248, 5.795046, -0.058461234
1.0799999, 0.22092782, 9.155824, 5.7790723, -0.0544948
1.1, 0.23680435, 9.468376, 5.7631955, -0.051205087
1.12, 0.2520797, 9.7848835, 5.7479205, -0.048246685
1.14, 0.26629955, 10.096916, 5.7337003, -0.04555429
1.16, 0.27954388, 10.404393, 5.720456, -0.04305861
1.18, 0.29186338, 10.707284, 5.7081366, -0.04073573
1.1999999, 0.30336663, 11.005601, 5.6966333, -0.038607396
1.22, 0.314098, 11.299255, 5.685902, -0.036591023
1.24, 0.32410434, 11.588253, 5.6758957, -0.03469801
1.26, 0.33315602, 11.871676, 5.666844, -0.03200779
1.28, 0.3404044, 12.130198, 5.6595955, -0.028513862
1.3, 0.34636837, 12.384849, 5.6536317, -0.024041826
1.3199999, 0.350847, 12.635277, 5.6491528, -0.01859383
1.3399999, 0.35364112, 12.881167, 5.646359, -0.012168974
1.36, 0.3545738, 13.122232, 5.6454263, -0.004763445
1.38, 0.35344583, 13.372088, 5.646554, 0.003629432
1.4, 0.35020518, 13.605862, 5.6497946, 0.012888389
1.42, 0.3443954, 13.845254, 5.6556044, 0.023124222
1.4399999, 0.33642164, 14.070303, 5.6635785, 0.034241773
1.4599999, 0.3255371, 14.298576, 5.674463, 0.046339303
1.48, 0.31198183, 14.521643, 5.6880183, 0.05934242
1.5, 0.29623303, 14.732002, 5.703767, 0.07325962
1.52, 0.27725542, 14.942907, 5.7227445, 0.088179044
1.54, 0.25550634, 15.14782, 5.7444935, 0.1040515
1.56, 0.23101681, 15.3465185, 5.7689834, 0.1208966
1.5799999, 0.20379637, 15.538783, 5.72464, 0.13873766
1.5999999, 0.17392656, 15.724415, 5.6499624, 0.15760198
1.62, 0.14146599, 15.903227, 5.578484, 0.1775209
1.64, 0.1057138, 16.078957, 5.51099, 0.19853002
1.66, 0.067489654, 16.247545, 5.445819, 0.22062168
1.68, 0.026944742, 16.40885, 5.3837934, 0.24383827
1.6999999, -0.01660978, 16.565763, 5.3256907, 0.26822677
1.7199999, -0.06308052, 16.717878, 5.270747, 0.29379967
1.74, -0.1114685, 16.862282, 5.2180853, 0.32057574
1.76, -0.16243061, 17.001215, 5.01484, 0.34861454
1.78, -0.21490523, 17.132761, 4.8464937, 0.37665334
1.8, -0.26853243, 17.25694, 4.6837497, 0.40469214
1.8199999, -0.3229307, 17.373806, 4.5262794, 0.43273094
1.8399999, -0.37774515, 17.483408, 4.37378, 0.46076974
1.86, -0.43255302, 17.585733, 4.2265887, 0.4888423
1.88, -0.48804635, 17.68236, 4.1080647, 0.5182082
1.9, -0.5456186, 17.776978, 4.088438, 0.5439615
1.92, -0.60572, 17.871428, 4.098636, 0.5645744
1.9399999, -0.6679632, 17.96599, 4.099728, 0.5804246
1.9599999, -0.72978956, 18.05753, 4.0744066, 0.59276676
1.9799999, -0.7908318, 18.146101, 4.0343113, 0.6023816
2.0, -0.85324734, 18.235287, 3.9830494, 0.60983455
2.02, -0.91203964, 18.31829, 3.9182684, 0.6156567
2.04, -0.9676278, 18.396046, 3.8505592, 0.62016714
2.06, -1.0217874, 18.471254, 3.7793117, 0.6236684
2.08, -1.0701551, 18.538052, 3.7037847, 0.62637764
2.1, -1.1187807, 18.604916, 3.631229, 0.62846214
2.12, -1.164113, 18.667065, 3.5524316, 0.6300736
2.1399999, -1.2018182, 18.71861, 3.474691, 0.6313125
2.1599998, -1.2269268, 18.75289, 3.4084172, 0.63220775
2.18, -1.2740775, 18.817184, 3.3609695, 0.6327935
2.2, -1.3183726, 18.877512, 3.261346, 0.6333608
2.22, -1.3599072, 18.934046, 3.1658294, 0.633705
2.24, -1.3987201, 18.986876, 3.0724468, 0.633705
2.26, -1.4345844, 19.03569, 2.9719083, 0.633705
2.28, -1.46749, 19.080479, 2.8713505, 0.633705
2.3, -1.4974248, 19.121223, 2.7706983, 0.633705
2.32, -1.5241237, 19.157593, 2.6621094, 0.63330543
2.34, -1.544537, 19.185429, 2.559552, 0.6327679
2.36, -1.5590761, 19.205282, 2.4715497, 0.63209784
2.3799999, -1.5706018, 19.221046, 2.402042, 0.631337
2.3999999, -1.5706018, 19.221046, 2.402042, 0.63057613
2.4199998, -1.5706018, 19.221046, 2.402042, 0.6298153
2.44, -1.5706018, 19.221046, 2.402042, 0.6290544
2.46, -1.5706018, 19.221046, 2.402042, 0.6282936
2.48, -1.5706018, 19.221046, 2.402042, 0.6279155
